0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:15 +0700] "GET /js/jquery-ui.js HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:22 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:28 +0700] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:28 +0700] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:28 +0700] "GET /BookStoreWebsite/images/users.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:28 +0700] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:28 +0700] "GET /BookStoreWebsite/images/bookstack.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:28 +0700] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:28 +0700] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:28 +0700] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:33 +0700] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 7817
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:36 +0700] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:43 +0700] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 200 7959
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:48 +0700] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 365079
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:53 +0700] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 4324
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:02:55 +0700] "GET /BookStoreWebsite/admin/category_form.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [03/Nov/2020:05:03:06 +0700] "POST /BookStoreWebsite/admin/create_category HTTP/1.1" 200 4468
