127.0.0.1 - - [09/Nov/2020:18:25:11 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:15 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:15 +0700] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:15 +0700] "GET /BookStoreWebsite/css/sb-admin-2.min.css HTTP/1.1" 200 169234
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:15 +0700] "GET /BookStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:15 +0700] "GET /BookStoreWebsite/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:15 +0700] "GET /BookStoreWebsite/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:15 +0700] "GET /BookStoreWebsite/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:16 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:27 +0700] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:27 +0700] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:27 +0700] "GET /BookStoreWebsite/images/users.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:27 +0700] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:27 +0700] "GET /BookStoreWebsite/images/bookstack.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:27 +0700] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:27 +0700] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:27 +0700] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:30 +0700] "GET /BookStoreWebsite/admin/logout HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:28:43 +0700] "GET /BookStoreWebsite/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:32:27 +0700] "GET /BookStoreWebsite/admin/logout HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:32:40 +0700] "GET /BookStoreWebsite/admin/logout HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:32:54 +0700] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:33:10 +0700] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:33:50 +0700] "GET /BookStoreWebsite/admin/logout HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:35:01 +0700] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [09/Nov/2020:18:35:12 +0700] "GET /BookStoreWebsite/admin/customers HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:04:09 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:04:09 +0700] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:04:09 +0700] "GET /BookStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:04:09 +0700] "GET /BookStoreWebsite/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:04:09 +0700] "GET /BookStoreWebsite/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:04:09 +0700] "GET /BookStoreWebsite/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:04:09 +0700] "GET /BookStoreWebsite/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:04:13 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:04:16 +0700] "GET /BookStoreWebsite/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:14:31 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:18:04 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:18:58 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:20:24 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:20:31 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:21:11 +0700] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:21:11 +0700] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:21:11 +0700] "GET /BookStoreWebsite/images/users.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:21:11 +0700] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:21:11 +0700] "GET /BookStoreWebsite/images/bookstack.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:21:11 +0700] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:21:11 +0700] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:21:11 +0700] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:21:14 +0700] "GET /BookStoreWebsite/admin/logout HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:29:07 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:30:20 +0700] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:30:30 +0700] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 365079
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:31:27 +0700] "GET /BookStoreWebsite/admin/images/logo.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:31:35 +0700] "GET /BookStoreWebsite/admin/images/logo.png/ HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:32:00 +0700] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 4324
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:32:03 +0700] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 7817
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:34:01 +0700] "GET /BookStoreWebsite/admin/logout HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:34:09 +0700] "GET /BookStoreWebsite/admin/logout HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:35:55 +0700] "GET /BookStoreWebsite/admin/logout HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:35:59 +0700] "GET /BookStoreWebsite/admin/logout HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:36:19 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:38:53 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:39:35 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:40:59 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:41:03 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:41:06 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:41:09 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:41:11 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:41:16 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [09/Nov/2020:19:41:29 +0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3308
